uuid,initial number of clusters,nesting ratio,nesting bias,number of operations,maximum cartographic error,average cartographic error,maximum polygon complexity,average polygon complexity,number of internal vertices in cluster graph,number of external vertices in cluster graph,number of internal edges in cluster graph,number of external edges in cluster graph,number of faces in cluster graph,average internal vertex degree in cluster graph,average external vertex degree in cluster graph
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,0,0.6051132489561211,0.2026651776652609,0.3331039910955943,0.13479392624742267,20,5,62,5,43,5.25,5.8
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,1,0.3580564428583947,0.1700744183593568,0.37254648221753744,0.12860536523017388,20,6,63,6,44,5.25,5.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,2,0.3401051001941357,0.13408276347287534,0.3563190717573069,0.13010958200014475,21,5,65,5,45,5.428571428571429,5.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,3,0.32057906154088234,0.11454535966609086,0.3465701298061098,0.12555585329366004,20,5,62,5,43,5.4,5.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,4,0.27762515095646045,0.11068513584747797,0.30099642907797497,0.12529112967141304,19,5,59,5,41,5.368421052631579,5.2
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,5,0.252736764481024,0.10683872649826066,0.2801805418369902,0.1234727297544594,19,4,58,4,40,5.368421052631579,5.5
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,6,0.25056923432723543,0.1010765914769067,0.2649300302636065,0.12111250926620622,18,5,56,5,39,5.222222222222222,5.6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,7,0.20990651695569193,0.10168833507567675,0.27404916142868146,0.12240641140278373,18,5,56,5,39,5.222222222222222,5.6
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,8,0.2720216281285155,0.12452810727585391,0.26611037784321373,0.12133157666525957,17,5,53,5,37,5.235294117647059,5.4
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,9,0.2954110982209613,0.1404453131287174,0.30112801105484727,0.11966514487660825,17,6,54,6,38,5.235294117647059,5.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,10,0.4056742582670529,0.1666676462306794,0.29310217516123516,0.11589580565407016,18,6,57,6,40,5.277777777777778,5.166666666666667
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,11,0.30632145253813836,0.1366418261691456,0.2983823432166628,0.11859570117231683,17,7,55,7,39,5.294117647058823,4.857142857142857
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,12,0.32063666982149086,0.12141958031290952,0.29974497289496127,0.12068732680049127,16,7,52,7,37,5.25,4.857142857142857
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,13,0.2585421277901483,0.11463080135084218,0.30201905415813324,0.1221960296689259,15,7,49,7,35,5.2,4.857142857142857
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,14,0.3309878739006869,0.1367796278772946,0.29079814182180186,0.12353364051749813,15,7,49,7,35,5.2,4.857142857142857
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,15,0.28268277761308697,0.14152492674228423,0.3136134028072111,0.12375209378894815,15,7,49,7,35,5.133333333333334,5.0
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,16,0.27814643845425335,0.1265529895080577,0.40076985429078804,0.12802221000806277,15,7,49,7,35,5.066666666666666,5.142857142857143
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,17,0.3842252487111581,0.13231997947040494,0.4067982757394666,0.12899908871319596,16,7,52,7,37,5.0,5.428571428571429
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,18,0.30417665860492354,0.11501893604051919,0.3913546189467791,0.1361216872995414,17,6,54,6,38,5.176470588235294,5.333333333333333
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,19,0.3260655030856837,0.13351659939890614,0.3652664977709332,0.13853301909750118,16,6,51,6,36,5.125,5.333333333333333
6D4B1D8B-7B4C-442C-B41F-2A6EAC4124E1,25,0.25,0.0,20,0.40530126312833104,0.1470392613575175,0.3623595049618238,0.1351957728938015,17,6,54,6,38,5.176470588235294,5.333333333333333
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,0,0.5601411021960885,0.24335864394444007,0.22102147977098516,0.11053592208020759,19,6,60,6,42,5.157894736842105,5.666666666666667
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,1,0.40972219094579804,0.18122629503186435,0.2434508616786743,0.10799611983992426,18,6,57,6,40,5.111111111111111,5.666666666666667
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,2,0.3622135793767997,0.1543743172099269,0.2526793748669979,0.11271631977921164,19,6,60,6,42,5.157894736842105,5.666666666666667
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,3,0.38560280551369974,0.1374793117178704,0.2754531092577877,0.11415465276233651,18,6,57,6,40,5.222222222222222,5.333333333333333
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,4,0.37826249535355233,0.1439894073630235,0.28401461706584674,0.11867865404173586,17,6,54,6,38,5.235294117647059,5.166666666666667
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,5,0.32936115951574707,0.1301814930585541,0.2755966190455566,0.11731444012780302,16,6,51,6,36,5.1875,5.166666666666667
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,6,0.29768401063495387,0.12941815057017714,0.26181362174215733,0.11144325648865551,16,7,52,7,37,5.1875,5.0
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,7,0.24853201696901978,0.10647338107830558,0.27226964391479697,0.10838494525864056,15,7,49,7,35,5.133333333333334,5.0
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,8,0.38118058186994386,0.13509407525971634,0.2531534170563158,0.11098473017160816,16,7,52,7,37,5.1875,5.0
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,9,0.4132506391939632,0.14603647676276535,0.25264262425035344,0.111529297390957,16,8,53,8,38,5.1875,4.875
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,10,0.3320457356160103,0.1378149725384557,0.2471804558024251,0.10840181243825513,16,9,54,9,39,5.1875,4.777777777777778
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,11,0.3884106116717244,0.17451744817034315,0.24036561832508657,0.10885194101445818,16,10,55,10,40,5.1875,4.7
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,12,0.40393924380418683,0.17693915558131165,0.2507578033151277,0.10850594270408699,16,11,56,11,41,5.1875,4.636363636363637
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,13,0.3936575991968944,0.17128659734057564,0.23860809631188554,0.1090006150646282,17,11,59,11,43,5.235294117647059,4.636363636363637
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,14,0.38899018933000146,0.18334298683185585,0.22835658886565968,0.10953742468385455,16,11,56,11,41,5.3125,4.454545454545454
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,15,0.4078526075883516,0.1602437602105604,0.24690550610227924,0.11293078942641809,17,10,58,10,42,5.235294117647059,4.7
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,16,0.36481273742080034,0.15728510255370792,0.24124468366440796,0.11467316295685388,17,9,57,9,41,5.235294117647059,4.777777777777778
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,17,0.36823915738322405,0.1513279956249141,0.2463100432330953,0.11843435549720642,18,8,59,8,42,5.333333333333333,4.75
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,18,0.45693897435525627,0.16926150337568574,0.3310051437120892,0.12367373719196142,19,7,61,7,43,5.315789473684211,5.0
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,19,0.3612499927064622,0.15690040547901085,0.3343789186279109,0.12548387279940512,19,6,60,6,42,5.315789473684211,5.166666666666667
AE097F3A-14FD-4735-A19B-8FD343CA3346,25,0.25,0.0,20,0.27842522308636997,0.15672243721381854,0.33972144031464546,0.12318334914573963,18,6,57,6,40,5.277777777777778,5.166666666666667
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.0,0,0.775969312701451,0.23136029716330234,0.22695918553687205,0.11807235506094133,18,7,58,7,41,4.944444444444445,5.857142857142857
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.0,1,0.3918582630872115,0.17862563102233153,0.23504378221306854,0.11487910589614726,18,8,59,8,42,4.944444444444445,5.625
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.0,2,0.39916520328878824,0.16685898392967966,0.24044664121447765,0.11380910098637109,17,9,57,9,41,4.882352941176471,5.444444444444445
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.0,3,0.3114365052487428,0.1326338848548179,0.2467189297637491,0.1164830070810006,18,9,60,9,43,4.888888888888889,5.555555555555555
4C84D073-8E95-4BB3-924D-8AE018CB08EB,25,0.25,0.0,4,0.30560327527796993,0.1391048849630745,0.2490290919279159,0.11750190117051951,19,9,63,9,45,4.842105263157895,5.777777777777778
